alim_code	kcal	protein	glucid	lipid
23481	313.0	4.44	38.7	15.0
23849	455.0	4.56	67.0	18.3
23880	404.0	7.25	39.4	23.7
23881	378.0	6.36	45.6	18.7
23884	362.0	5.65	47.6	16.0
23885	420.0	7.31	45.9	22.5
23909	360.0	4.19	55.2	12.6
31035	359.0	5.12	35.8	21.4
39503	328.0	3.35	33.4	19.8
23472	286.0	5.38	31.4	14.9
39401	119.0	2.02	18.8	3.62
39502	275.0	3.12	40.5	10.7
39512	230.0	2.52	32.6	9.7
39516	262.0	2.65	26.2	16.1
39518	212.0	3.6	34.8	6.5
39519	196.0	2.68	23.5	9.57
39529	263.0	4.83	25.3	15.2
39530	133.0	0.14	29.1	1.77
39532	220.0	2.98	28.6	10.0
39533	226.0	2.42	30.0	10.4
39534	163.0	0.89	32.2	3.36
16400	753.0	0.69	0.9	82.9
16402	738.0	0.72	0.55	81.4
16403	732.0	0.5	0.68	80.8
16404	755.0	0.7	0.5	83.4
16410	550.0	0.56	0.7	60.6
16411	555.0	0.9	0.5	61.0
16412	368.0	0.33	3.73	38.9
16413	727.0	0.73	0.55	80.2
16414	741.0	0.68	0.99	81.5
16415	391.0	0.5	3.6	41.7
16712	247.0	0.4	3.8	25.6
16713	201.0	0.5	6.2	19.1
16030	900.0	0.0	0.0	100.0
